Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,PA,Polk,16342,Venango,0,0.06,0,0,0,219.02,13.1412,0,0,0,0,December 2022,0,190.01,29,13.14,219.01
OGS/MT,NY,Alfred Station,14803,Allegany,0,0.085,0.045,0,0,19.95,1.69575,0,0.89775,0,0,December 2022,0,19.95,0,1.7,19.95
OGS/MT,NY,Indian Lake,12842,Hamilton,0,0.08,0.04,0,0,126.73,10.1384,0,5.0692,0,0,December 2022,0,103.72,23,10.14,126.72
OGS/MT,MA,Rochester,2770,Plymouth,0,0.0625,0,0,0,0,0,0,0,0,0,December 2022,0,128.16,43.5,0,0
OGS/MT,IA,Decorah,52101,Winneshiek,0,0,0,0,0,160.1,0,0,0,0,0,December 2022,0,134.1,26,0,0
OGS/MT,ME,Fort Kent,4743,Aroostook,0.055,0.055,0,0,0,287.28,15.8004,15.8004,0,0,0,December 2022,0,287.28,23,15.8,0
OGS/MT,ME,East Waterboro,4030,York,0.055,0.055,0,0,0,98.12,5.3966,5.3966,0,0,0,December 2022,0,98.12,29,5.4,0
OGS/MT,MO,Des Arc,63636,Iron,0,0,0,0,0,104.63,0,0,0,0,0,December 2022,0,104.62,0,0,0
OGS/MT,VT,Williamstown,5679,Orange,0,0.06,0,0,0,92.93,5.5758,0,0,0,0,January 2023,0,92.92,0,5.58,92.92
OGS/MT,CT,Deep River,6417,Middlesex,0,0.0635,0,0,0,54.84,3.48234,0,0,0,0,December 2022,0,31.82,23,3.48,54.82
OGS/MT,OH,Akron,44313,Summit,0,0.0675,0.01,0,0,48.93,3.302775,0,0.4893,0,0,December 2022,0,48.92,0,3.3,48.92
OGS/MT,MA,Norwood,2062,Norfolk,0,0.0625,0,0,0,129.6,8.1,0,0,0,0,January 2023,0,177.07,23,8.1,0
OGS/MT,NY,Canton,13617,St. Lawrence,0,0.08,0.04,0,0,53.35,4.268,0,2.134,0,0,December 2022,0,53.34,0,0,53.34
OGS/MT,NE,Lincoln,68512,Lancaster,0,0,0,0,0,0,0,0,0,0,0,January 2023,0,0,0,0,0
OGS/MT,NY,North River,12856,Warren,0,0.07,0.03,0,0,8.46,0.5922,0,0.2538,0,0,December 2022,0,8.46,0,0.59,8.46
OGS/MT,VT,Brookfield,5036,Orange,0,0.06,0,0,0,274.65,16.479,0,0,0,0,March 2023,0,256.06,34,16.48,290.06
OGS/MT,CT,Enfield,6082,Hartford,0,0.0635,0,0,0,87.9,5.58165,0,0,0,0,December 2022,0,58.9,29,5.58,87.9
OGS/MT,MI,Hesperia,49421,Oceana,0,0.06,0,0,0,297.21,17.8326,0,0,0,0,December 2022,0,252.21,45,17.83,297.21
OGS/MT,VA,Falls Church,22046,Falls Church,0,0.06,0.01,0,0.007,7.13,0.4278,0,0.0713,0,0.04991,December 2022,0,7.12,0,0.43,0
OGS/MT,NY,Naples,14512,Ontario,0,0.08,0.04,0,0,222.95,17.836,0,8.918,0,0,January 2023,0,193.95,29,17.84,222.95
OGS/MT,ME,Orono,4473,Penobscot,0.055,0.055,0,0,0,58.66,3.2263,3.2263,0,0,0,January 2023,0,58.66,34,3.23,0
OGS/MT,NY,East Charleston,5833,Orleans,0,0.08,0.04,0,0,110.06,8.8048,0,4.4024,0,0,January 2023,0,132.97,23,8.8,155.97
OGS/MT,NH,Wilmot,3287,Merrimack,0,0,0,0,0,10.21,0,0,0,0,0,January 2023,0,10.21,0,0,0
OGS/MT,NY,Ithaca,14850,Tompkins,0,0.08,0.04,0,0,82.18,6.5744,0,3.2872,0,0,January 2023,0,82.17,0,6.57,82.17
OGS/MT,MA,Sterling,1564,Worcester,0,0.0625,0,0,0,39.66,2.47875,0,0,0,0,January 2023,0,39.66,0,2.48,0
OGS/MT,ME,Hampden,4444,Penobscot,0.055,0.055,0,0,0,83.36,4.5848,4.5848,0,0,0,January 2023,0,83.36,23,4.58,0
OGS/MT,CA,Chino,91710,San Bernardino,0,0,0,0,0,105.75,0,0,0,0,0,January 2023,0,105.75,0,0,0
OGS/MT,ME,Waldo,4915,Waldo,0.055,0.055,0,0,0,14.25,0.78375,0.78375,0,0,0,January 2023,0,14.25,12,0.78,0
OGS/MT,RI,Warwick,2889,Kent,0,0.07,0,0,0,0,0,0,0,0,0,January 2023,0,15.04,0,0,15.04
OGS/MT,ME,Washington,4574,Knox,0.055,0.055,0,0,0,15.2,0.836,0.836,0,0,0,January 2023,0,15.2,0,0.84,0
OGS/MT,MA,Princeton,1541,Worcester,0,0.0625,0,0,0,89.06,5.56625,0,0,0,0,January 2023,0,89.06,0,5.57,0
OGS/MT,OR,Junction City,97448,Lane,0,0,0,0,0,57,0,0,0,0,0,January 2023,0,57,0,0,0
OGS/MT,IN,Richmond,47374,Wayne,0,0.07,0,0,0,47.85,3.3495,0,0,0,0,January 2023,0,21.85,26,3.35,47.85
OGS/MT,MO,Unionville,63565,Putnam,0,0,0,0,0,179.45,0,0,0,0,0,January 2023,0,153.45,26,0,0
OGS/MT,ME,Cushing,4563,Knox,0.055,0.055,0,0,0,48.18,2.6499,2.6499,0,0,0,January 2023,0,48.18,0,2.65,0
OGS/MT,IL,Glenview,60025,Cook,0,0.1075,0.0175,0.0075,0.02,536.6,57.6845,0,9.3905,4.0245,10.732,January 2023,0,493.6,43,57.68,536.6
OGS/MT,NE,Lincoln,68516,Lancaster,0,0,0,0,0,303.45,0,0,0,0,0,January 2023,0,218.45,85,0,303.45
OGS/MT,NH,Nashua,3060,Hillsborough,0,0,0,0,0,8.07,0,0,0,0,0,January 2023,0,8.07,0,0,0
